Chapter,Program,MemberID,IncentiveAmount,DateAwarded
Chapter 17,Sales,M1920,401.43,2025-08-18
Chapter 1,Sales,M5184,271.19,2025-01-19
Chapter 19,Referral,M2741,65.37,2025-10-29
Chapter 19,Retention,M2400,176.71,2025-09-11
Chapter 11,Sales,M3470,231.69,2025-10-22
Chapter 11,Referral,M3410,344.65,2025-09-18
Chapter 3,Sales,M6730,70.77,2025-01-04
Chapter 2,Engagement,M8929,122.83,2025-10-01
Chapter 10,Sales,M6279,277.47,2025-01-27
Chapter 20,Engagement,M3534,29.75,2025-10-16
Chapter 12,Retention,M7299,86.24,2025-08-01
Chapter 16,Retention,M2933,228.38,2025-12-28
Chapter 1,Referral,M8730,52.85,2025-11-09
Chapter 7,Referral,M8385,238.62,2025-05-01
Chapter 13,Engagement,M9025,299.82,2025-01-10
Chapter 19,Retention,M9675,172.37,2025-06-29
Chapter 13,Referral,M4305,170.69,2025-02-28
Chapter 15,Sales,M1624,364.12,2025-07-15
Chapter 5,Engagement,M8943,472.13,2025-05-05
Chapter 12,Sales,M5397,472.81,2025-08-05
Chapter 3,Retention,M7022,167.3,2025-12-04
Chapter 13,Engagement,M9879,189.07,2025-07-29
Chapter 11,Referral,M4710,323.24,2025-07-11
Chapter 5,Engagement,M8276,372.56,2025-05-28
Chapter 7,Retention,M3846,441.35,2025-04-29
Chapter 14,Referral,M9227,98.96,2025-07-15
Chapter 4,Referral,M3856,25.27,2025-05-01
Chapter 14,Referral,M3187,207.66,2025-12-16
Chapter 9,Engagement,M8535,343.68,2025-01-09
Chapter 17,Engagement,M3653,141.19,2025-10-25
Chapter 14,Referral,M9786,34.75,2025-08-18
Chapter 18,Engagement,M1663,268.72,2025-06-27
Chapter 6,Engagement,M6444,308.53,2025-01-08
Chapter 20,Retention,M7501,477.15,2025-03-01
Chapter 10,Retention,M8561,493.0,2025-01-25
Chapter 17,Retention,M6759,407.95,2025-06-21
Chapter 12,Retention,M1479,403.91,2025-09-21
Chapter 1,Retention,M4357,31.78,2025-08-08
Chapter 18,Sales,M3860,378.72,2025-12-13
Chapter 8,Retention,M3755,151.07,2025-10-26
Chapter 9,Sales,M9542,265.31,2025-08-22
Chapter 10,Referral,M9256,103.79,2025-05-24
Chapter 3,Engagement,M9595,263.44,2025-09-07
Chapter 18,Referral,M2254,357.5,2025-08-12
Chapter 11,Retention,M7596,158.49,2025-03-10
Chapter 17,Referral,M1983,37.2,2025-06-14
Chapter 5,Retention,M4527,365.38,2025-01-31
Chapter 12,Referral,M3119,416.53,2025-07-05
Chapter 11,Engagement,M8411,62.22,2025-08-24
Chapter 17,Referral,M8639,396.19,2025-01-04
Chapter 12,Engagement,M2047,481.49,2025-06-15
Chapter 16,Sales,M9731,325.12,2025-07-23
Chapter 19,Referral,M7981,280.56,2025-09-10
Chapter 13,Sales,M5933,26.33,2025-10-21
Chapter 14,Referral,M8831,359.12,2025-05-01
Chapter 10,Referral,M6275,424.9,2025-08-13
Chapter 12,Retention,M3511,178.83,2025-05-20
Chapter 1,Engagement,M6970,231.65,2025-11-10
Chapter 15,Retention,M9080,422.26,2025-04-18
Chapter 18,Sales,M8143,38.4,2025-10-20
Chapter 19,Sales,M3834,290.6,2025-11-22
Chapter 3,Engagement,M9248,440.9,2025-07-30
Chapter 19,Referral,M5137,346.9,2025-12-02
Chapter 9,Engagement,M1517,99.76,2025-11-14
Chapter 9,Engagement,M1926,173.33,2025-10-26
Chapter 1,Referral,M9785,422.32,2025-07-09
Chapter 13,Referral,M3921,387.13,2025-01-28
Chapter 18,Retention,M2990,148.12,2025-03-03
Chapter 5,Engagement,M6125,367.51,2025-10-10
Chapter 11,Sales,M7005,436.77,2025-03-08
Chapter 15,Referral,M1726,292.32,2025-02-18
Chapter 5,Retention,M2369,19.62,2025-08-31
Chapter 10,Engagement,M2785,156.73,2025-07-13
Chapter 12,Retention,M1913,295.12,2025-10-04
Chapter 9,Sales,M3988,172.26,2025-06-13
Chapter 11,Sales,M5922,352.47,2025-01-12
Chapter 20,Referral,M9156,302.74,2025-04-16
Chapter 20,Retention,M2331,498.07,2025-02-28
Chapter 5,Retention,M5038,301.3,2025-09-08
Chapter 2,Retention,M2455,41.59,2025-07-09
Chapter 18,Engagement,M4998,414.89,2025-03-09
Chapter 16,Referral,M4139,442.28,2025-07-26
Chapter 9,Referral,M8737,44.74,2025-03-27
Chapter 14,Engagement,M7526,471.56,2025-03-20
Chapter 7,Engagement,M2186,150.71,2025-04-18
Chapter 2,Engagement,M9681,215.39,2025-11-25
Chapter 1,Retention,M6212,273.63,2025-05-06
Chapter 6,Sales,M3898,122.62,2025-02-16
Chapter 17,Retention,M7879,121.62,2025-12-25
Chapter 10,Referral,M1845,124.5,2025-01-18
Chapter 20,Referral,M7016,125.5,2025-12-31
Chapter 20,Engagement,M6396,329.49,2025-01-10
Chapter 4,Referral,M4399,62.65,2025-09-07
Chapter 5,Retention,M5596,240.51,2025-08-21
Chapter 11,Sales,M8925,406.41,2025-08-17
Chapter 16,Engagement,M2092,417.61,2025-09-13
Chapter 4,Sales,M9685,366.79,2025-10-27
Chapter 8,Referral,M7083,227.07,2025-07-28
Chapter 11,Referral,M2249,145.91,2025-11-06
Chapter 16,Retention,M9774,183.5,2025-09-28
Chapter 10,Referral,M3016,215.05,2025-05-07
Chapter 19,Retention,M1281,384.07,2025-07-09
Chapter 8,Referral,M1756,331.83,2025-08-28
Chapter 11,Sales,M2696,488.32,2025-10-20
Chapter 5,Referral,M4670,126.89,2025-10-04
Chapter 10,Engagement,M8897,21.47,2025-07-14
Chapter 8,Referral,M5038,75.68,2025-04-25
Chapter 5,Referral,M7189,15.27,2025-12-17
Chapter 8,Retention,M7815,156.96,2025-09-20
Chapter 10,Retention,M3914,478.55,2025-08-22
Chapter 7,Sales,M1696,274.65,2025-12-30
Chapter 10,Retention,M2775,357.37,2025-06-28
Chapter 16,Sales,M3220,383.58,2025-07-22
Chapter 8,Retention,M3013,363.32,2025-06-17
Chapter 9,Referral,M4806,48.17,2025-09-16
Chapter 20,Referral,M2357,496.75,2025-02-03
Chapter 7,Referral,M7950,362.2,2025-03-05
Chapter 5,Referral,M4154,394.62,2025-10-01
Chapter 10,Referral,M8533,408.95,2025-09-23
Chapter 19,Sales,M2325,385.87,2025-01-17
Chapter 4,Engagement,M5896,302.72,2025-06-19
Chapter 15,Referral,M8269,163.25,2025-03-18
Chapter 10,Sales,M6850,440.6,2025-02-07
Chapter 5,Referral,M3041,182.72,2025-08-27
Chapter 3,Retention,M9021,401.74,2025-08-26
Chapter 4,Sales,M2729,469.57,2025-03-10
Chapter 3,Sales,M4146,204.14,2025-12-24
Chapter 16,Engagement,M2956,413.66,2025-04-14
Chapter 4,Retention,M8382,23.06,2025-10-08
Chapter 3,Retention,M8912,301.05,2025-04-20
Chapter 4,Engagement,M4118,437.58,2025-04-17
Chapter 11,Sales,M9958,99.24,2025-04-17
Chapter 14,Referral,M5060,213.02,2025-09-27
Chapter 9,Referral,M3570,419.94,2025-12-21
Chapter 1,Engagement,M4677,230.99,2025-11-16
Chapter 3,Engagement,M7703,163.55,2025-11-09
Chapter 17,Engagement,M6413,320.47,2025-12-09
Chapter 3,Referral,M8946,203.1,2025-05-20
Chapter 5,Sales,M3090,227.16,2025-12-16
Chapter 15,Engagement,M1151,493.45,2025-08-07
Chapter 16,Engagement,M9433,133.45,2025-11-24
Chapter 19,Retention,M8447,328.23,2025-12-17
Chapter 11,Referral,M2824,447.39,2025-06-12
Chapter 14,Engagement,M8394,235.4,2025-12-11
Chapter 20,Referral,M8964,266.92,2025-01-27
Chapter 17,Engagement,M9259,411.09,2025-07-22
Chapter 6,Referral,M1640,86.27,2025-12-12
Chapter 1,Retention,M2977,145.75,2025-04-15
Chapter 11,Referral,M5498,443.55,2025-05-11
Chapter 17,Sales,M2894,234.97,2025-06-21
Chapter 11,Referral,M5171,408.97,2025-04-14
Chapter 14,Engagement,M2681,381.29,2025-05-29
Chapter 7,Referral,M6962,241.68,2025-11-21
Chapter 1,Sales,M6288,32.99,2025-11-24
Chapter 19,Retention,M7948,145.96,2025-10-01
Chapter 3,Sales,M2384,158.49,2025-02-12
Chapter 11,Engagement,M4585,181.57,2025-03-06
Chapter 13,Retention,M1410,280.03,2025-04-11
Chapter 7,Sales,M4407,327.89,2025-04-15
Chapter 2,Retention,M1693,340.99,2025-01-31
Chapter 4,Referral,M3409,279.95,2025-06-29
Chapter 19,Retention,M6026,352.15,2025-05-25
Chapter 20,Retention,M4502,202.74,2025-03-18
Chapter 11,Sales,M7957,262.51,2025-10-23
Chapter 15,Retention,M8681,414.27,2025-10-26
Chapter 11,Engagement,M2935,373.97,2025-01-07
Chapter 1,Retention,M5143,142.58,2025-12-03
Chapter 20,Referral,M1116,206.93,2025-12-15
Chapter 7,Engagement,M2910,253.07,2025-11-17
Chapter 13,Sales,M1091,399.17,2025-05-15
Chapter 5,Retention,M5550,350.73,2025-09-07
Chapter 2,Sales,M8860,454.88,2025-06-15
Chapter 12,Sales,M6416,166.34,2025-08-10
Chapter 15,Retention,M8677,466.28,2025-02-01
Chapter 10,Sales,M7745,421.69,2025-11-16
Chapter 12,Referral,M8696,268.35,2025-04-28
Chapter 3,Engagement,M6438,407.97,2025-06-29
Chapter 13,Retention,M7753,173.22,2025-08-25
Chapter 13,Retention,M3170,284.12,2025-01-25
Chapter 10,Retention,M2903,470.63,2025-01-08
Chapter 3,Retention,M6084,60.54,2025-06-08
Chapter 2,Referral,M7874,232.53,2025-09-27
Chapter 4,Referral,M5765,87.53,2025-09-08
Chapter 8,Engagement,M7543,273.44,2025-02-16
Chapter 11,Engagement,M5544,406.2,2025-08-27
Chapter 11,Referral,M1367,236.7,2025-03-15
Chapter 12,Sales,M9029,53.25,2025-08-15
Chapter 3,Engagement,M7540,449.57,2025-04-28
Chapter 6,Retention,M9812,356.78,2025-01-07
Chapter 17,Engagement,M1005,302.63,2025-07-13
Chapter 14,Sales,M7353,39.36,2025-06-19
Chapter 20,Sales,M2043,266.18,2025-02-01
Chapter 19,Engagement,M7699,103.89,2025-12-23
Chapter 15,Engagement,M4088,389.53,2025-05-25
Chapter 3,Referral,M4607,56.56,2025-08-27
Chapter 5,Retention,M4589,425.28,2025-07-04
Chapter 11,Retention,M9225,270.43,2025-09-27
Chapter 15,Engagement,M4889,222.13,2025-09-26
Chapter 13,Retention,M6725,274.05,2025-06-03
Chapter 2,Engagement,M3105,435.76,2025-12-19
Chapter 3,Retention,M8285,42.45,2025-08-25
Chapter 4,Retention,M1825,191.24,2025-11-15
Chapter 4,Engagement,M9459,224.99,2025-03-19
Chapter 14,Retention,M3225,98.09,2025-02-22
Chapter 1,Sales,M8322,247.18,2025-05-21
Chapter 6,Engagement,M8858,70.54,2025-09-18
Chapter 13,Referral,M1509,258.06,2025-09-10
Chapter 8,Retention,M6579,71.8,2025-05-26
Chapter 17,Retention,M7810,147.24,2025-03-08
Chapter 7,Referral,M4934,185.25,2025-07-09
Chapter 16,Retention,M6868,214.78,2025-11-02
Chapter 3,Sales,M8844,94.39,2025-12-27
Chapter 12,Engagement,M8159,250.08,2025-12-21
Chapter 8,Sales,M9244,44.23,2025-04-27
Chapter 6,Sales,M4995,486.64,2025-01-27
Chapter 1,Referral,M2823,342.68,2025-04-22
Chapter 12,Retention,M4796,455.47,2025-12-01
Chapter 3,Retention,M2131,197.03,2025-06-06
Chapter 17,Referral,M6779,344.4,2025-08-26
Chapter 4,Referral,M2255,54.27,2025-07-20
Chapter 15,Referral,M8689,282.74,2025-11-06
Chapter 14,Engagement,M7464,174.9,2025-10-28
Chapter 15,Referral,M1203,253.42,2025-10-12
Chapter 17,Sales,M9426,312.9,2025-12-26
Chapter 7,Sales,M7093,386.54,2025-03-26
Chapter 3,Sales,M2998,408.63,2025-11-06
Chapter 4,Retention,M2867,464.98,2025-09-14
Chapter 1,Retention,M8793,57.06,2025-04-05
Chapter 16,Engagement,M8177,126.53,2025-07-06
Chapter 19,Referral,M3763,148.51,2025-11-17
Chapter 12,Engagement,M6921,180.9,2025-06-28
Chapter 17,Engagement,M1133,395.47,2025-09-25
Chapter 10,Retention,M8310,458.53,2025-11-11
Chapter 4,Referral,M2423,312.63,2025-06-24
Chapter 11,Referral,M1314,119.5,2025-07-13
Chapter 17,Retention,M5675,228.67,2025-01-24
Chapter 11,Engagement,M3829,87.54,2025-08-11
Chapter 11,Engagement,M7321,87.47,2025-01-15
Chapter 1,Referral,M6220,129.32,2025-02-24
Chapter 8,Sales,M5827,491.09,2025-11-20
Chapter 10,Sales,M2108,369.93,2025-01-23
Chapter 11,Sales,M8948,388.73,2025-01-29
Chapter 8,Sales,M4670,36.87,2025-07-23
Chapter 1,Engagement,M3209,483.72,2025-08-23
Chapter 18,Referral,M6237,453.91,2025-02-28
Chapter 13,Referral,M3412,461.64,2025-11-12
Chapter 16,Referral,M8101,179.34,2025-03-17
Chapter 19,Referral,M7583,437.15,2025-03-08
Chapter 8,Sales,M8393,421.36,2025-12-05
Chapter 20,Engagement,M2465,152.42,2025-06-24
Chapter 15,Engagement,M9458,153.36,2025-01-07
Chapter 3,Sales,M6993,113.69,2025-12-24
Chapter 15,Referral,M3423,259.9,2025-01-08
Chapter 14,Engagement,M6872,496.55,2025-08-31
Chapter 17,Sales,M9736,195.63,2025-05-05
Chapter 20,Referral,M9755,32.99,2025-11-12
Chapter 6,Engagement,M3508,450.96,2025-10-08
Chapter 2,Engagement,M8137,267.5,2025-01-14
Chapter 6,Engagement,M4817,252.82,2025-03-22
Chapter 11,Referral,M4748,84.41,2025-01-03
Chapter 19,Engagement,M3032,218.08,2025-09-21
Chapter 9,Engagement,M5604,161.91,2025-07-24
Chapter 7,Referral,M8762,495.25,2025-07-03
Chapter 11,Engagement,M4579,142.46,2025-09-24
Chapter 6,Referral,M3725,111.15,2025-03-11
Chapter 2,Referral,M6402,14.44,2025-05-05
Chapter 11,Engagement,M6995,403.59,2025-03-03
Chapter 4,Referral,M6506,272.71,2025-07-09
Chapter 10,Retention,M2223,156.53,2025-10-28
Chapter 15,Sales,M8984,403.72,2025-09-13
Chapter 2,Engagement,M6453,439.6,2025-02-25
Chapter 1,Sales,M5192,14.21,2025-04-13
Chapter 1,Referral,M8438,48.71,2025-11-28
Chapter 8,Referral,M6053,39.46,2025-02-24
Chapter 15,Retention,M7012,109.57,2025-02-24
Chapter 8,Sales,M8699,135.68,2025-09-17
Chapter 11,Engagement,M2275,176.23,2025-03-12
Chapter 9,Engagement,M5916,384.74,2025-10-30
Chapter 11,Referral,M1467,373.43,2025-12-04
Chapter 10,Engagement,M8196,141.08,2025-12-27
Chapter 7,Sales,M5848,385.36,2025-07-31
Chapter 19,Retention,M9660,384.68,2025-02-05
Chapter 12,Engagement,M3040,188.96,2025-01-08
Chapter 4,Retention,M1037,96.29,2025-09-03
Chapter 9,Engagement,M4537,277.72,2025-07-26
Chapter 18,Sales,M2339,94.52,2025-10-24
Chapter 4,Engagement,M6224,397.98,2025-12-26
Chapter 8,Sales,M9576,34.51,2025-04-05
Chapter 12,Engagement,M6646,494.74,2025-01-08
Chapter 3,Sales,M6325,79.11,2025-09-21
Chapter 11,Retention,M4678,351.8,2025-11-21
Chapter 16,Retention,M5147,499.37,2025-12-19
Chapter 13,Referral,M7721,189.98,2025-01-04
Chapter 19,Engagement,M7917,395.66,2025-04-14
Chapter 19,Engagement,M3648,314.94,2025-07-28
Chapter 19,Referral,M2927,399.15,2025-10-29
Chapter 11,Sales,M6397,123.63,2025-05-24
Chapter 4,Referral,M9114,228.77,2025-12-18
Chapter 14,Retention,M2455,271.92,2025-09-19
Chapter 14,Referral,M1993,492.33,2025-11-23
Chapter 1,Sales,M9007,159.74,2025-11-13
Chapter 2,Referral,M1271,450.91,2025-09-11
Chapter 13,Sales,M4441,224.01,2025-09-22
Chapter 19,Sales,M5791,337.71,2025-07-29
Chapter 8,Engagement,M4102,494.41,2025-12-25
Chapter 20,Engagement,M1635,421.16,2025-05-14
Chapter 4,Referral,M2275,233.07,2025-06-16
Chapter 9,Referral,M3708,413.51,2025-06-08
Chapter 12,Sales,M9519,169.88,2025-07-24
Chapter 4,Retention,M3950,499.55,2025-02-04
Chapter 15,Engagement,M3593,91.27,2025-09-20
Chapter 2,Retention,M4792,217.5,2025-07-23
Chapter 3,Engagement,M2134,358.02,2025-04-14
Chapter 15,Engagement,M2727,347.0,2025-09-16
Chapter 11,Engagement,M3221,127.56,2025-06-30
Chapter 12,Engagement,M1949,385.36,2025-06-23
Chapter 7,Sales,M3108,67.26,2025-10-12
Chapter 20,Retention,M1190,30.16,2025-09-27
Chapter 8,Retention,M4647,372.75,2025-02-13
Chapter 17,Referral,M6462,231.99,2025-07-12
Chapter 16,Engagement,M7723,57.19,2025-06-13
Chapter 3,Retention,M2841,397.82,2025-07-24
Chapter 16,Retention,M7095,302.68,2025-10-09
Chapter 4,Referral,M1563,275.66,2025-01-24
Chapter 17,Referral,M5891,272.4,2025-09-08
Chapter 9,Retention,M6297,231.52,2025-12-01
Chapter 9,Engagement,M7037,404.64,2025-09-10
Chapter 14,Sales,M4945,249.74,2025-06-12
Chapter 15,Engagement,M7554,336.33,2025-01-22
Chapter 18,Sales,M1679,128.7,2025-03-14
Chapter 15,Sales,M7933,220.43,2025-02-15
Chapter 2,Sales,M3276,272.55,2025-08-15
Chapter 7,Retention,M3687,21.97,2025-11-28
Chapter 8,Sales,M5321,326.97,2025-01-24
Chapter 20,Sales,M5180,66.87,2025-08-11
Chapter 19,Sales,M6257,345.51,2025-10-10
Chapter 5,Referral,M9982,288.13,2025-11-17
Chapter 11,Referral,M6436,460.02,2025-02-18
Chapter 11,Referral,M7503,98.42,2025-10-26
Chapter 11,Engagement,M5543,257.76,2025-11-28
Chapter 1,Retention,M2644,394.94,2025-09-11
Chapter 3,Retention,M7861,83.4,2025-06-14
Chapter 16,Sales,M2511,156.72,2025-09-11
Chapter 18,Sales,M9607,345.19,2025-12-23
Chapter 5,Sales,M7296,14.9,2025-03-09
Chapter 5,Sales,M8620,332.61,2025-01-11
Chapter 15,Referral,M9624,213.11,2025-09-18
Chapter 15,Retention,M5275,343.07,2025-01-11
Chapter 19,Engagement,M1831,191.32,2025-01-28
Chapter 17,Referral,M4738,121.04,2025-10-04
Chapter 16,Retention,M7688,17.83,2025-12-23
Chapter 9,Retention,M4612,279.81,2025-05-09
Chapter 19,Referral,M5112,312.93,2025-06-20
Chapter 14,Sales,M3090,341.01,2025-05-27
Chapter 15,Sales,M5415,242.79,2025-01-28
Chapter 8,Engagement,M4792,300.45,2025-05-09
Chapter 8,Engagement,M2179,377.75,2025-09-14
Chapter 7,Retention,M3005,312.7,2025-06-12
Chapter 3,Sales,M9016,350.17,2025-02-19
Chapter 10,Sales,M7830,371.99,2025-08-08
Chapter 11,Retention,M4757,131.03,2025-05-02
Chapter 16,Referral,M5656,365.76,2025-02-02
Chapter 18,Sales,M4443,195.12,2025-08-13
Chapter 15,Referral,M8201,12.58,2025-08-26
Chapter 20,Referral,M6742,200.37,2025-10-27
Chapter 10,Engagement,M3121,101.24,2025-11-25
Chapter 17,Engagement,M5870,204.01,2025-07-18
Chapter 2,Engagement,M2989,464.79,2025-08-30
Chapter 5,Referral,M5368,248.02,2025-10-08
Chapter 4,Engagement,M4908,223.32,2025-09-12
Chapter 18,Retention,M9819,433.73,2025-10-24
Chapter 20,Sales,M1397,457.05,2025-08-25
Chapter 16,Referral,M1517,231.01,2025-10-18
Chapter 15,Engagement,M8919,298.66,2025-02-16
Chapter 1,Sales,M3907,301.06,2025-08-27
Chapter 7,Referral,M4165,458.16,2025-12-06
Chapter 17,Sales,M1725,177.27,2025-04-04
Chapter 6,Referral,M2484,320.81,2025-07-03
Chapter 8,Referral,M6535,480.02,2025-04-04
Chapter 13,Retention,M7673,350.52,2025-09-21
Chapter 8,Retention,M1689,81.03,2025-11-15
Chapter 1,Retention,M9926,396.83,2025-08-13
Chapter 19,Retention,M2720,212.98,2025-10-06
Chapter 5,Sales,M6991,311.72,2025-06-15
Chapter 19,Engagement,M2868,69.91,2025-10-31
Chapter 2,Retention,M2554,352.22,2025-03-02
Chapter 13,Sales,M6416,136.83,2025-01-16
Chapter 3,Retention,M2912,244.36,2025-09-24
Chapter 8,Referral,M4908,138.12,2025-12-12
Chapter 12,Engagement,M5526,386.7,2025-03-13
Chapter 6,Sales,M8373,34.56,2025-06-27
Chapter 3,Engagement,M9426,226.93,2025-10-21
Chapter 7,Sales,M6143,139.88,2025-01-02
Chapter 2,Referral,M2916,385.26,2025-10-14
Chapter 4,Sales,M4998,232.42,2025-07-21
Chapter 10,Engagement,M4255,42.56,2025-07-13
Chapter 10,Engagement,M4275,404.84,2025-06-30
Chapter 11,Retention,M1745,466.86,2025-12-08
Chapter 16,Engagement,M6986,188.57,2025-12-15
Chapter 15,Referral,M6203,123.03,2025-02-08
Chapter 13,Sales,M7538,454.79,2025-12-21
Chapter 5,Sales,M5900,454.75,2025-04-24
Chapter 4,Referral,M6679,441.71,2025-08-25
Chapter 2,Sales,M9462,246.14,2025-10-12
Chapter 10,Sales,M2703,395.21,2025-12-27
Chapter 14,Engagement,M1780,335.57,2025-01-14
Chapter 17,Referral,M2894,393.3,2025-05-15
Chapter 8,Referral,M1720,18.67,2025-08-30
Chapter 19,Referral,M6486,382.72,2025-06-22
Chapter 15,Referral,M3392,425.45,2025-03-08
Chapter 10,Retention,M8234,188.81,2025-09-17
Chapter 18,Engagement,M7958,491.9,2025-04-09
Chapter 9,Retention,M6657,96.33,2025-06-06
Chapter 19,Sales,M8730,94.26,2025-10-08
Chapter 12,Referral,M6886,284.95,2025-10-07
Chapter 19,Retention,M2373,198.55,2025-05-01
Chapter 15,Retention,M5943,490.18,2025-12-30
Chapter 9,Referral,M3956,42.54,2025-10-06
Chapter 19,Retention,M5718,83.29,2025-02-28
Chapter 13,Retention,M4556,347.23,2025-12-16
Chapter 20,Sales,M7654,223.84,2025-11-25
Chapter 13,Retention,M7562,378.41,2025-01-26
Chapter 10,Sales,M6742,177.1,2025-09-10
Chapter 9,Referral,M5984,421.64,2025-10-20
Chapter 9,Retention,M1819,314.16,2025-08-01
Chapter 1,Engagement,M2772,221.46,2025-07-22
Chapter 6,Engagement,M5069,445.85,2025-08-10
Chapter 1,Engagement,M2317,224.91,2025-07-05
Chapter 3,Sales,M7840,312.43,2025-03-06
Chapter 20,Referral,M5677,272.52,2025-02-05
Chapter 1,Referral,M8477,378.54,2025-07-19
Chapter 7,Retention,M4279,207.63,2025-04-06
Chapter 17,Engagement,M7658,455.04,2025-11-03
Chapter 9,Retention,M9921,88.19,2025-01-09
Chapter 19,Sales,M6709,245.09,2025-07-18
Chapter 13,Sales,M1281,328.22,2025-05-13
Chapter 1,Retention,M7334,398.26,2025-08-10
Chapter 19,Engagement,M7961,457.18,2025-02-01
Chapter 13,Sales,M1488,372.18,2025-03-29
Chapter 18,Engagement,M7662,110.85,2025-04-01
Chapter 17,Retention,M4407,139.53,2025-06-26
Chapter 10,Referral,M2903,411.88,2025-01-27
Chapter 17,Engagement,M4511,113.93,2025-12-31
